Kelamin,Rata-ratasem4,Rata-ratasem5,Rata-ratasem6,Tanggungan,PenghasilanAyah(Rupiah),PenghasilanIbu(Rupiah),Jumlahpenghasilan,Pekerjaan Ayah,Kepemilikanrumah,BahanLantai,Diterima/tdk
Laki-laki,83,84,84,4,2500000,0,2500000,Wirausaha,Sewa Tahunan,Semen Plaster,0
Perempuan,8613,8847,908,4,2500000,0,2500000,Ojek Online,Milik Sendiri,Keramik,0
Laki-laki,81,81,82,3,500000,0,500000,Buruh Harian Lepas,Milik Sendiri,Keramik,1
Perempuan,8521,8678,905,3,1000000,0,1000000,PETANI,Milik Sendiri,Kayu,1
Perempuan,84,84,86,4,1500000,0,1500000,Petani,Milik Sendiri,Ubin,0
Laki-laki,,,,4,2300000,3000000,5300000,Driver,Milik Sendiri,Keramik,0
Perempuan,83,84,85,5,500000,0,500000,Buruh (Sopir ),Menumpang,Ubin,1
Perempuan,83,84,,3,0,0,0,Tidak bekerja,Milik Sendiri,Ubin,0
Perempuan,80,82,83,5,2000000,1500000,3500000,Pedagang,Milik Sendiri,Keramik,1
Laki-laki,86,86,87,5,2000000,500000,2500000,Pengantar air galon,Milik Sendiri,Semen Plaster,0
Laki-laki,80,80,80,8,0,1400000,1400000,SUDAH WAFAT,Menumpang,Ubin,1
Perempuan,81,82,84,5,2000000,0,2000000,Buruh bangunan,Milik Sendiri,Kayu,1
Laki-laki,78,80,83,4,2000000,0,2000000,Buruh Serabutan,Menumpang,Ubin,1
Perempuan,,,,6,1500000,0,1500000,Peg. Swasta,Milik Sendiri,Keramik,1
Perempuan,8607,8606,8726,6,1500000,0,1500000,BURUH,Menumpang,Keramik,1
Perempuan,8471,846,8633,6,750000,0,750000,Petani,Menumpang,Kayu,1
Perempuan,82,81,84,4,0,0,0,Tidak bekerja,Milik Sendiri,Keramik,1
Perempuan,8093,8386,854,3,500000,1600000,2100000,Ojek Online,Milik Sendiri,Tanah,0
Perempuan,81,84,86,3,4000000,0,4000000,PEGAWAI SWASTA,Sewa Tahunan,Ubin,0
Perempuan,,,,6,500000,0,500000,Sopir,Menumpang,Keramik,1
Laki-laki,8167,,8313,3,50000,0,50000,Buruh,Milik Sendiri,Keramik,1
Perempuan,82,84,85,3,0,1000000,1000000,-,Sewa Bulanan,Semen Plaster,0
Laki-laki,83,84,86,3,500000,0,500000,Buruh Harian Lepas,Menumpang,Keramik,0
Perempuan,81,80,80,5,3000000,0,3000000,SUPIR PENGANTAR BARANG,Sewa Bulanan,Keramik,0
Perempuan,82,84,86,4,0,0,0,0,Milik Sendiri,Keramik,1
Perempuan,,,,7,2000000,250000,2250000,Wiraswasta,Milik Sendiri,Keramik,1
Laki-laki,90,92,86,4,80000,50000,130000,Wirausaha,Milik Sendiri,Keramik,0
Perempuan,865,878,894,5,2500000,0,2500000,Buruh bangunan,Milik Sendiri,Kayu,1
Perempuan,84,873,882,2,0,750000,750000,-,Milik Sendiri,Keramik,1
Perempuan,82,83,84,5,1000000,0,1000000,Wiraswasta,Milik Sendiri,Keramik,0
Perempuan,84,86,88,4,800000,700000,1500000,Buruh,Milik Sendiri,Keramik,1
Perempuan,83,87,,3,20000,0,20000,Buruh harian lepas,Milik Sendiri,Keramik,0
Perempuan,,,,3,0,0,0,Tidak Bekerja,Milik Sendiri,Keramik,1
Perempuan,,,,5,1250000,0,1250000,BURUH,Milik Sendiri,Keramik,1
Perempuan,83,84,86,3,1500000,0,1500000,Pegawai Swasta,Milik Sendiri,Semen Plaster,1
Perempuan,85,89,8859,4,0,0,0,TIDAK BEKERJA,Milik Sendiri,Ubin,1
Laki-laki,8364,8457,8539,7,750000,0,750000,Buruh Harian Lepas,Milik Sendiri,Keramik,0
Perempuan,,,,3,0,500000,500000,-,Milik Sendiri,Semen Plaster,1
Perempuan,81,88,88,4,1500000,0,1500000,Tidak Tetap,Milik Sendiri,Keramik,1
Perempuan,81,87,85,4,750000,750000,1500000,Petani,Milik Sendiri,Kayu,0
Perempuan,92,93,92,2,0,0,0,Buruh,Milik Sendiri,Ubin,0
Perempuan,8421,86,8871,4,1500000,0,1500000,PETANI,Milik Sendiri,Semen Plaster,1
Perempuan,86,90,92,3,500000,0,500000,Supir,Sewa Bulanan,Ubin,0
Perempuan,8562,88,9010,5,2500000,0,2500000,Penjahit,Milik Sendiri,Keramik,1
Perempuan,83,827,844,3,1000000,0,1000000,Driver,Milik Sendiri,Keramik,1
Laki-laki,8485,865,865,3,3500000,0,3500000,Tukang Servis,Milik Sendiri,Keramik,1
Perempuan,,,,5,1500000,0,1500000,BURUH,Milik Sendiri,Ubin,1
Perempuan,855,8721,8828,4,250000,0,250000,BURUH KONTRAK,Menumpang,Kayu,1
Perempuan,108050,92300,95831,5,1500000,0,1500000,Pedagang,Milik Sendiri,Keramik,1
Laki-laki,8363,8533,8755,10,0,1200000,1200000,TIDAK BEKERJA,Milik Sendiri,Keramik,1
Laki-laki,77,80,82,5,3000000,0,3000000,PHK (dirumahkan),Menumpang,Ubin,1
Perempuan,814,856,883,4,4500000,0,4500000,Kuli Bangunan,Sewa Bulanan,Ubin,1
Perempuan,84,84,85,5,2400000,0,2400000,Kuli Bangunan,Milik Sendiri,Keramik,0
Laki-laki,,8595,,3,1700000,0,1700000,GO-JEK,Menumpang,Keramik,1
Perempuan,84,80,80,4,1500000,1250001,2750001,Buruh,Sewa Bulanan,Ubin,1
Perempuan,83,85,,3,0,0,0,Wiraswasta,Milik Sendiri,Ubin,0
Laki-laki,80,81,81,5,0,0,0,SENIMAN,Sewa Bulanan,Ubin,1
Perempuan,891,901,911,5,500,0,500,Petani,Milik Sendiri,Semen Plaster,0
Perempuan,79,81,83,4,70000,0,70000,Buruh,Milik Sendiri,Tanah,1
Perempuan,79,86,88,6,500000,0,500000,Amil,Milik Sendiri,Ubin,1
Perempuan,84,86,86,5,800000,0,800000,Kuli bangunan,Menumpang,Keramik,0
Laki-laki,,,,5,0,50000,50000,-,Milik Sendiri,Keramik,1
Perempuan,80,83,84,9,1750000,300000,2050000,Buruh harian lepas,Menumpang,Kayu,1
Laki-laki,,,,7,0,1000000,1000000,-,Menumpang,Keramik,0
Laki-laki,839,8425,8487,6,0,0,0,Sudah meninggal,Milik Sendiri,Keramik,1
Perempuan,86,85,84,2,0,2500000,2500000,Tidak bekerja,Milik Sendiri,Keramik,1
Perempuan,83,82,86,5,0,1500000,1500000,Tidak tau,Menumpang,Keramik,1
Laki-laki,80,84,86,3,0,1000000,1000000,Pegawai Swasta,Milik Sendiri,Keramik,1
Perempuan,80,80,80,5,3500000,0,3500000,karyawan swasta,Milik Sendiri,Ubin,1
Laki-laki,8507,8940,8833,3,0,0,0,Tidak Bekerja,Milik Sendiri,Tanah,1
Perempuan,82,84,84,4,150000,0,150000,dagang,Milik Sendiri,Keramik,1
Perempuan,,,,3,100000,0,100000,Buruh tani harian lepas,Milik Sendiri,Tanah,1
Laki-laki,80,85,87,5,500000,500000,1000000,Wiraswasta,Milik Sendiri,Ubin,1
Laki-laki,90,98,88,4,1600000,0,1600000,Buruh Harian Lepas,Milik Sendiri,Keramik,0
Perempuan,81,85,85,5,2500000,0,2500000,Buruh,Milik Sendiri,Keramik,1
Laki-laki,81,76,77,3,0,0,0,Ojek Online,Sewa Tahunan,Keramik,0
Perempuan,86,87,84,4,1000000,0,1000000,Wiraswasta / Supir,Sewa Bulanan,Keramik,0
Laki-laki,8020,8389,8439,4,3000000,0,3000000,Supir,Menumpang,Keramik,0
Perempuan,758,84,835,5,3000000,0,3000000,Karyawan Swasta/Freelance,Menumpang,Semen Plaster,0
Perempuan,838,829,859,8,1500000,0,1500000,Buruh Tani,Milik Sendiri,Keramik,1
Laki-laki,81,82,76,6,3000000,0,3000000,Buruh,Milik Sendiri,Keramik,1
Perempuan,8417,8375,8542,5,450000,0,450000,Petani,Milik Sendiri,Semen Plaster,0
Laki-laki,80,8228,8435,4,2000000,0,2000000,Swasta,Milik Sendiri,Keramik,1
Laki-laki,801,856,853,5,500000,0,500000,Pedagang,Sewa Bulanan,Semen Plaster,1
Laki-laki,763,699,703,8,500000,0,500000,Wirausaha,Milik Sendiri,Semen Plaster,0
Laki-laki,8516,8827,8750,4,1000000,0,1000000,Ojek Online,Sewa Bulanan,Ubin,0
Perempuan,84,84,83,10,500000,0,500000,Wiraswasta,Milik Sendiri,Ubin,1
Perempuan,808,86,874,5,1500000,0,1500000,Berdagang,Milik Sendiri,Ubin,0
Perempuan,8352,8614,8707,11,2500000,0,2500000,Wiraswasta,Menumpang,Keramik,1
Laki-laki,,,,3,2000000,400000,2400000,petani ikan,Milik Sendiri,Keramik,1
Laki-laki,84,85,85,5,500000,0,500000,PETANI,Milik Sendiri,Kayu,0
Perempuan,814,845,84,4,500000,750000,1250000,BURUH,Menumpang,Keramik,0
Laki-laki,801,856,853,5,500000,0,500000,Pedagang,Sewa Bulanan,Semen Plaster,0
Laki-laki,82,80,82,7,1000000,0,1000000,Petani,Menumpang,Semen Plaster,1
Perempuan,80,82,82,3,300000,0,300000,Petani,Milik Sendiri,Keramik,1
Perempuan,,807,817,7,1200000,850000,2050000,Satpam Komplek,Milik Sendiri,Kayu,0
Laki-laki,83,84,86,6,500000,0,500000,Buruh,Milik Sendiri,Semen Plaster,1
Perempuan,85,89,88,4,0,0,0,TIDAK BEKERJA,Menumpang,Ubin,1
Perempuan,81,83,84,4,500000,0,500000,buruh,Milik Sendiri,Semen Plaster,0
Perempuan,86,85,89,8,0,4100000,4100000,Tidak bekerja,Sewa Bulanan,Keramik,1
Perempuan,85,85,82,5,1500000,0,1500000,Petani/Pekebun,Milik Sendiri,Keramik,1
Laki-laki,81,66,69,5,0,500000,500000,Buruh,Milik Sendiri,Semen Plaster,1
Perempuan,96,97,96,5,500000,500000,1000000,Petani,Menumpang,Kayu,0
Perempuan,82,81,82,4,70000,0,70000,WIRAUSAHA,Milik Sendiri,Keramik,0
Perempuan,83,85,87,3,2000000,0,2000000,Tidak Bekerja,Menumpang,Keramik,1
Perempuan,79,80,85,7,25,18,43,Wiraswasta,Sewa Tahunan,Semen Plaster,1
Perempuan,,,,5,1500000,0,1500000,Ojek online (gojek),Sewa Bulanan,Keramik,1
Perempuan,84,85,87,4,0,1000000,1000000,-,Milik Sendiri,Ubin,0
Perempuan,7612,8025,8175,7,500000,2000000,2500000,Pensiun,Milik Sendiri,Ubin,0
Perempuan,84,83,85,5,0,200000,200000,Tidak Bekerja,Menumpang,Semen Plaster,1
Perempuan,8281,8128,8281,6,0,0,0,Pekerja swasta,Menumpang,Keramik,1
Laki-laki,7823,7958,8400,4,800000,0,800000,Pedagang Kecil,Milik Sendiri,Keramik,1
Laki-laki,75,81,,2,0,250000,250000,PETANI,Milik Sendiri,Keramik,1
Perempuan,85,84,85,6,2000000,0,2000000,Pedagang ,Milik Sendiri,Ubin,1
Perempuan,8714,8551,889,5,1500000,0,1500000,Petani,Sewa Bulanan,Semen Plaster,1
Perempuan,84,85,84,5,100000,0,100000,Wirausaha ,Milik Sendiri,Keramik,0
Laki-laki,,,,4,0,0,0,-,Milik Sendiri,Tanah,1
Perempuan,83,76,8086,4,2500000,0,2500000,wiraswasta,Milik Sendiri,Kayu,1
Laki-laki,79,79,80,26,500000,0,500000,Pengurus masjid (marbot),Menumpang,Ubin,0
Perempuan,96,89,90,5,3500000,0,3500000,Karyawan Swasta,Milik Sendiri,Ubin,1
Perempuan,836,860,879,4,1000000,250000,1250000,Buruh harian lepas,Milik Sendiri,Keramik,1
Laki-laki,81,82,85,3,1000000,300000,1300000,Pensiunan,Milik Sendiri,Keramik,1
Perempuan,81,80,0,6,1250000,0,1250000,Buruh,Milik Sendiri,Ubin,0
Perempuan,848,846,,4,0,0,0,-,Menumpang,Keramik,1
Perempuan,85,84,82,5,2500000,0,2500000,Dagang,Milik Sendiri,Semen Plaster,1
Perempuan,87,85,87,4,25000,50000,75000,Ojek online,Menumpang,Keramik,1
Laki-laki,8885,8938,8792,3,3491173,1000000,4491173,Sekuriti,Sewa Bulanan,Keramik,0
Perempuan,8175,86,85,4,4800000,0,4800000,Satpam,Milik Sendiri,Keramik,0
Perempuan,83,82,85,5,1500000,0,1500000,Buruh,Milik Sendiri,Keramik,1
Perempuan,8685,8921,,4,500000,0,500000,Ojek Online,Menumpang,Keramik,1
Laki-laki,75,75,75,4,2000000,0,2000000,Pedagang,Sewa Bulanan,Keramik,0
Laki-laki,8514,8635,88,4,0,1000000,1000000,Karyawan swasta,Menumpang,Ubin,1
Laki-laki,,,,4,0,0,0,-,Milik Sendiri,Tanah,0
Laki-laki,829,803,813,4,2000000,0,2000000,KARYAWAN SWASTA,Milik Sendiri,Keramik,1
Perempuan,82,84,89,3,0,3860000,3860000,Wiraswasta ,Milik Sendiri,Ubin,0
Perempuan,82,87,,5,500000,0,500000,Buruh harian lepas,Milik Sendiri,Keramik,1
Laki-laki,,,,5,3000000,0,3000000,Swasta,Sewa Tahunan,Keramik,1
Laki-laki,85,87,87,4,3800000,0,3800000,Peg. Swasta,Sewa Bulanan,Ubin,0
Perempuan,87,78,85,4,0,0,0,Tidak bekerja (pensiun),Sewa Tahunan,Ubin,1
Perempuan,8020,7854,8062,3,1500000,0,1500000,Wiraswasta,Sewa Bulanan,Keramik,1
Laki-laki,76,77,76,5,3800000,0,3800000,PPSU,Menumpang,Ubin,0
Perempuan,83,82,86,4,650000,250000,900000,BURUH HARIAN LEPAS,Milik Sendiri,Keramik,1
Laki-laki,83,80,80,5,1500000,0,1500000,Wirausaha,Milik Sendiri,Ubin,1
Laki-laki,81,90,89,4,2200000,400000,2600000,Sopir,Milik Sendiri,Keramik,1
Perempuan,8436,846,8756,6,2500000,0,2500000,Ojek online,Milik Sendiri,Keramik,1
Perempuan,85,85,86,3,0,0,0,Tidak ada,Menumpang,Keramik,0
Perempuan,895,8864,8985,5,1500000,0,1500000,Nelayan/petani,Milik Sendiri,Semen Plaster,1
Laki-laki,85,82,86,4,2500000,0,2500000,Karyawan Toko,Milik Sendiri,Ubin,1
Perempuan,8642,8664,8842,4,1500000,0,1500000,Swasta,Milik Sendiri,Kayu,1
Perempuan,88,88,88,7,0,0,0,Tidak bekerja,Milik Sendiri,Keramik,0
Perempuan,84,88,88,5,3500000,0,3500000,Karyawan swasta,Menumpang,Ubin,0
Laki-laki,8017,8269,8344,5,1900000,0,1900000,Buruh Harian Lepas,Sewa Tahunan,Keramik,0
Laki-laki,81,83,83,3,0,500000,500000,Buruh,Milik Sendiri,Keramik,1
Laki-laki,79,81,82,5,1200000,0,1200000,Buruh Petani,Milik Sendiri,Semen Plaster,1
Laki-laki,85,83,85,5,3500000,0,3500000,Karyawan Swasta,Milik Sendiri,Keramik,1
Laki-laki,80,77,82,3,1500000,0,1500000,PETANI,Milik Sendiri,Semen Plaster,0
Laki-laki,83,89,90,5,1000000,0,1000000,Marbot masjid,Menumpang,Keramik,0
